Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP0,pass_1/3,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,34.8,53.0,65.6,697.0,341.7,0.00,2.17,0.0,27.4,38.3,71.6,7.39,12.6,58.6,0.00,0.17,-0.17,0.43,2.61,0.87,0.87,9.57,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,44.7,55.3,80.9,756.4,334.0,0.65,1.41,46.0,37.5,43.5,86.4,6.51,10.4,62.6,0.06,0.11,-0.06,0.96,3.24,1.77,0.25,8.23,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,52.8,63.3,83.4,1023.4,400.1,0.48,1.72,28.0,39.7,43.2,91.9,12.7,18.4,68.9,0.00,0.02,-0.02,0.48,5.03,0.90,0.28,7.72,Matches
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,10.0,20.0,50.0,320.0,90.0,0.00,0.00,,0.00,10.0,0.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,34.7,41.5,83.6,793.8,266.5,0.13,0.66,20.0,21.9,24.6,89.3,12.6,16.3,77.7,0.00,0.00,-0.00,0.08,1.34,0.08,0.00,1.74,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,40.8,48.0,85.0,761.6,172.8,0.80,1.29,62.1,31.3,34.8,90.2,8.71,12.0,72.6,0.00,0.07,-0.07,1.02,3.87,0.49,0.09,3.64,Matches
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,15.0,40.0,37.5,145.0,37.5,0.00,5.00,0.0,15.0,27.5,54.5,0.00,7.50,0.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,32.9,42.5,77.5,767.3,288.9,0.25,0.82,30.8,20.3,24.1,84.5,12.3,17.6,70.1,0.00,0.01,-0.01,0.19,3.67,0.44,0.19,4.56,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,37.8,43.6,86.7,640.5,110.0,0.45,1.59,28.6,31.6,35.1,90.0,5.80,6.93,83.6,0.00,0.01,-0.01,0.23,2.50,0.11,0.00,1.82,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,42.2,48.6,87.0,911.0,290.6,0.38,0.63,60.9,28.7,31.5,91.3,13.1,16.5,79.7,0.03,0.02,0.01,0.22,3.04,0.16,0.05,2.80,Matches
