Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,0.08,0.00,0.00,1.24,0.34,0.00,27.3,1.24,0.34,0.07,0.25,0.08,0.08,0.07,0.00,0.00,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0.00,0.00,0.00,0.07,0.07,0.00,100.0,0.07,0.07,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.0,10.00,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,0.00,0.00,0.00,0.47,0.11,0.00,22.2,0.47,0.11,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,0.13,0.04,0.04,1.56,0.49,0.00,31.4,1.56,0.49,0.06,0.18,0.13,0.10,0.06,0.00,-0.01,Matches
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,0.00,0.00,0.00,2.50,0.00,0.00,0.0,2.81,0.00,0.00,,0.25,0.25,0.14,-0.25,-0.25,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0.00,0.00,0.00,0.32,0.06,0.00,20.0,0.32,0.06,0.00,0.00,0.03,0.03,0.10,-0.03,-0.03,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0.00,0.00,0.00,0.80,0.23,0.00,28.6,0.80,0.23,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,0.08,0.00,0.00,0.52,0.19,0.00,36.8,0.52,0.19,0.16,0.43,0.09,0.09,0.18,-0.01,-0.01,Matches
