,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,53.0,40.0,13.0,1.74,0.00,6.96,2.17,4.35,0.00,0.00,0.00,0.00,29.1,4.78,19.1,3.91,36.1,0.87,11.3,0.43,34.8,0.00,2.61,0.00,4.35,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,55.3,45.3,9.97,1.32,0.11,7.72,0.82,1.18,0.03,0.00,0.00,0.00,37.2,8.65,9.38,36.6,8.73,1.13,8.62,0.11,44.7,0.08,0.96,1.61,1.46,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,63.3,55.4,7.86,1.31,0.21,9.93,0.97,1.79,0.00,0.00,0.00,0.00,43.1,9.59,10.6,4.07,50.8,1.45,6.55,0.14,52.8,0.07,0.83,0.97,1.59,Matches
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,10.0,0.00,0.00,10.0,0.00,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,41.5,40.1,1.42,1.37,0.03,4.92,1.39,0.00,0.00,0.00,0.00,0.00,30.9,3.13,7.47,26.5,11.5,2.37,0.05,0.13,34.7,0.11,0.95,0.24,0.58,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,48.0,46.6,1.47,0.71,0.09,8.80,1.42,1.07,0.44,0.00,0.00,0.04,36.8,4.27,6.98,4.49,40.5,2.04,0.18,0.18,40.8,0.18,1.16,0.31,0.67,Matches
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,40.0,40.0,0.00,0.00,0.00,12.5,0.00,0.00,0.00,0.00,0.00,0.00,22.5,5.00,12.5,32.5,0.00,2.50,0.00,0.00,15.0,0.00,2.50,5.00,2.50,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,42.5,41.0,1.46,1.27,0.00,6.39,1.52,0.51,0.00,0.00,0.00,0.00,27.0,4.62,10.8,4.56,32.8,3.80,0.19,0.00,32.9,0.13,0.76,0.76,0.76,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,43.6,42.5,1.14,0.68,0.00,8.75,0.45,0.23,0.00,0.00,0.00,0.00,33.1,5.34,5.23,2.84,36.5,3.18,0.23,0.45,37.8,0.00,0.45,0.45,1.14,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,48.6,46.8,1.79,1.39,0.03,7.12,1.30,0.19,0.00,0.00,0.00,0.00,34.9,5.00,8.67,34.7,8.64,3.29,0.41,0.19,42.2,0.08,0.87,0.43,0.24,Matches
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,43.8,43.0,0.77,0.30,0.18,8.69,1.19,2.02,0.00,0.00,0.00,0.00,33.7,4.29,5.77,1.90,39.3,1.37,0.48,0.00,35.2,0.06,0.95,0.60,1.61,Matches
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,64.5,62.5,2.00,1.75,0.50,11.1,0.75,0.50,0.00,0.00,0.00,0.00,45.5,8.75,10.3,9.88,46.6,6.00,0.25,0.25,52.0,0.13,1.00,0.38,1.75,Matches
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,24.0,13.0,11.0,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,15.0,16.0,5.00,0.00,0.00,3.00,12.0,0.00,2.00,0.00,0.00,Matches
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,45.1,35.8,9.31,2.08,0.00,9.03,3.47,6.94,0.97,0.14,0.00,0.00,23.6,6.25,15.3,5.14,31.7,1.94,6.25,0.14,31.9,0.28,0.42,0.97,1.67,Matches
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,43.6,42.3,1.26,1.22,0.00,4.77,2.03,0.00,0.00,0.00,0.00,0.00,30.4,4.37,8.83,6.53,31.8,3.87,0.05,0.36,37.9,0.05,1.04,0.27,0.32,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,33.7,26.0,7.67,0.00,0.00,3.67,0.33,1.67,0.00,0.00,0.00,0.00,21.7,8.00,4.00,3.33,22.0,0.33,7.67,0.00,25.7,0.67,0.33,1.00,2.33,Matches
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,62.9,60.4,2.50,0.83,0.42,13.3,2.08,3.75,0.83,0.42,0.00,0.00,46.3,9.17,7.50,5.83,55.0,0.83,0.83,0.00,46.3,0.42,1.25,0.83,2.08,Matches
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,68.3,55.0,13.3,2.22,0.00,13.3,2.22,7.78,3.33,0.00,0.00,0.00,38.3,15.0,15.0,43.3,12.2,2.78,7.78,0.56,43.3,1.11,2.22,2.22,2.78,Matches
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,22.6,21.6,0.95,0.00,0.00,6.29,0.10,0.57,0.10,0.00,0.00,0.00,11.0,6.38,5.24,2.29,11.7,4.38,0.10,1.05,14.2,0.10,0.57,0.95,0.67,Matches
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,45.4,36.9,8.49,1.06,0.00,7.02,1.89,2.04,0.08,0.00,0.04,0.00,26.2,9.09,10.2,11.2,23.9,2.30,7.36,0.11,37.0,0.08,0.83,0.64,1.40,Matches
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,42.8,33.2,9.65,0.75,0.00,5.22,0.80,1.86,0.13,0.13,0.00,0.00,20.8,9.38,12.7,2.26,28.0,3.54,8.67,0.04,29.8,0.18,1.33,1.02,1.81,Matches
