Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,68.3,3.48,24.3,29.6,17.0,0.00,55.7,0.87,1.30,66.7,0.87,0,37.0,217.4,131.7,33.0,70,92.1,0.87,0.87,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,64.7,3.89,19.1,30.2,19.2,2.20,54.9,0.76,1.21,62.8,0.79,1,41.4,220.0,123.8,41.3,1351,92.1,0.76,0.54,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,72.8,5.10,24.2,40.5,11.4,0.62,65.2,0.34,0.62,55.6,0.55,2,48.3,191.6,103.9,48.9,687,96.9,0.41,0.21,Matches
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,50.0,0.00,10.0,20.0,40.0,0.00,50.0,10.0,10.0,100.0,10.0,0,60.0,960.0,720.0,20.0,2,100.0,10.0,0.00,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,53.2,8.16,35.4,19.8,1.21,0.68,51.9,0.58,0.63,91.7,0.58,0,32.3,184.4,92.3,31.8,1179,97.4,0.26,0.13,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,60.3,1.51,13.4,39.2,11.9,1.20,59.0,1.69,2.71,62.3,1.78,2,45.2,275.0,135.4,44.8,897,89.1,1.47,1.60,Matches
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,72.5,2.50,17.5,27.5,35.0,7.50,72.5,5.00,7.50,66.7,5.00,0,50.0,347.5,247.5,57.5,15,65.2,2.50,5.00,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,52.4,5.70,23.7,29.1,3.61,0.51,51.0,0.25,0.32,80.0,0.25,0,30.1,202.5,109.0,28.6,442,97.8,0.19,0.13,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,52.6,2.27,11.9,35.7,7.61,0.45,51.7,0.68,0.80,85.7,0.68,0,38.5,195.8,78.0,33.1,277,95.2,0.11,1.25,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,58.8,7.58,30.4,30.1,3.45,0.73,57.2,0.24,0.30,81.8,0.24,0,37.0,265.4,139.1,36.5,1307,97.2,0.19,0.38,Matches
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,54.8,1.55,8.99,30.2,21.4,1.96,54.2,2.20,2.86,77.1,2.32,1,46.8,337.1,196.2,48.0,699,86.6,1.55,1.67,Matches
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,77.1,2.13,14.5,52.6,15.9,0.88,75.6,1.38,1.75,78.6,1.38,1,51.4,311.0,184.3,54.8,404,92.2,1.63,1.13,Matches
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,28.0,27.0,28.0,0.00,0.00,0.00,17.0,0.00,0.00,,0.00,0,11.0,85.0,51.0,9.00,9,100.0,0.00,0.00,Matches
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,53.6,2.64,13.1,27.2,19.2,0.97,44.6,1.53,2.08,73.3,1.53,0,35.8,286.1,163.3,37.1,236,88.4,0.56,0.69,Matches
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,53.7,5.63,30.0,26.1,1.08,0.68,52.4,0.09,0.09,100.0,0.09,0,32.5,187.0,107.8,31.9,695,98.2,0.09,0.41,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,48.7,1.67,12.7,19.7,20.3,3.00,41.3,2.67,4.33,61.5,2.67,0,36.3,211.3,133.0,34.7,85,81.7,4.33,2.33,Matches
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,77.9,0.00,6.67,45.4,35.4,3.33,75.4,4.58,6.67,68.8,5.42,1,64.2,442.1,224.2,70.8,149,87.6,5.42,2.50,Matches
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,76.7,4.44,20.6,30.0,29.4,2.22,63.3,2.22,2.78,80.0,2.22,0,48.9,227.2,146.7,48.3,79,90.8,0.00,0.00,Matches
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,31.0,0.29,1.81,15.3,15.0,4.19,29.9,0.67,1.14,58.3,0.67,1,17.4,78.1,28.7,45.4,262,54.9,2.67,0.67,Matches
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,55.5,3.09,17.1,26.6,15.7,1.17,47.4,1.55,2.49,62.1,1.70,1,37.2,209.2,118.7,38.0,867,86.1,1.21,1.21,Matches
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,53.5,3.89,17.3,28.1,11.2,0.35,44.1,1.24,1.73,71.8,1.28,1,28.4,163.5,106.0,28.1,570,89.8,0.80,0.62,Matches
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,62.8,6.32,29.6,33.8,3.33,0.85,59.7,0.43,0.51,83.3,0.43,0,40.1,207.9,109.8,40.2,453,96.4,0.17,0.34,Matches
