Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,2,0.88,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,71,2.00,59,7,1,2,2,6,0.17,5,1,0,0,0,0,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,18,1.24,18,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,20,0.53,15,0,3,2,0,1,0.03,1,0,0,0,0,0,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,42,1.87,32,5,3,1,1,2,0.09,2,0,0,0,0,0,Matches
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,2,5.63,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,10,0.63,8,0,0,1,1,1,0.06,0,0,0,1,0,0,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,4,0.46,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,21,0.57,17,0,0,1,3,2,0.05,1,0,0,1,0,0,Matches
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,34,2.03,26,0,5,2,1,0,0.00,0,0,0,0,0,0,Matches
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,13,1.62,11,0,1,0,1,4,0.50,3,0,1,0,0,0,Matches
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,25,3.49,14,5,3,2,1,2,0.28,2,0,0,0,0,0,Matches
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7,0.32,5,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,7,2.92,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,6,3.25,4,1,1,0,0,1,0.54,1,0,0,0,0,0,Matches
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,15,1.43,13,0,0,1,1,1,0.10,1,0,0,0,0,0,Matches
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,41,1.54,28,3,2,1,7,7,0.26,4,0,0,0,3,0,Matches
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,21,0.93,20,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,6,0.51,4,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,73,2.67,51,1,6,8,7,17,0.62,12,0,2,1,2,0,Matches
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,95,3.38,74,7,5,2,7,8,0.28,5,0,1,1,1,0,Matches
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,5,1.31,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,2,1.12,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,19,1.59,16,0,0,3,0,2,0.17,1,0,0,1,0,0,Matches
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,45,1.87,30,2,6,2,4,4,0.17,1,1,0,1,0,1,Matches
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,21,2.02,20,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,25,2.10,24,0,1,0,0,3,0.25,2,0,1,0,0,0,Matches
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,1,1.58,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,29,1.70,19,0,1,3,6,4,0.24,2,0,1,1,0,0,Matches
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,16,0.65,14,0,0,1,1,4,0.16,2,0,0,1,1,0,Matches
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,16,1.41,10,1,3,1,1,2,0.18,1,0,0,0,1,0,Matches
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,17,0.45,14,0,0,1,1,2,0.05,0,0,0,0,1,1,Matches
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,2,1.00,1,1,0,0,0,1,0.50,1,0,0,0,0,0,Matches
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,21,3.60,14,0,3,2,2,1,0.17,1,0,0,0,0,0,Matches
39,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hannover 96,de Bundesliga,23,1995,3.5,2,0.58,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,23,1995,5.5,4,0.72,3,0,0,0,1,2,0.36,1,0,0,0,1,0,Matches
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,71,2.53,56,1,4,8,2,7,0.25,6,0,1,0,0,0,Matches
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,44,2.09,32,4,3,1,4,5,0.24,3,0,0,1,1,0,Matches
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,27,1.92,25,0,0,1,1,5,0.36,4,0,0,1,0,0,Matches
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,81,2.44,73,1,2,0,4,16,0.48,14,0,0,0,1,1,Matches
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,141,6.38,94,31,5,8,2,10,0.45,4,3,0,2,0,1,Matches
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,14,0.74,14,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,31,1.68,23,5,1,2,0,4,0.22,3,1,0,0,0,0,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,42,2.33,37,3,0,2,0,4,0.22,4,0,0,0,0,0,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,34,2.53,26,0,2,3,3,6,0.45,4,0,0,1,1,0,Matches
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,12,0.58,10,0,0,2,0,2,0.10,2,0,0,0,0,0,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,77,2.88,58,13,2,0,4,8,0.30,6,2,0,0,0,0,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,55,1.66,34,6,5,2,8,4,0.12,2,0,1,0,1,0,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,30,0.92,24,0,1,5,0,1,0.03,1,0,0,0,0,0,Matches
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,5,3.21,3,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,2,1.23,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,24,3.39,22,0,0,1,1,5,0.71,4,0,0,1,0,0,Matches
